Pickup.Zip.Code,Numebr.of.Records
19116,187
19154,281
19115,149
19114,233
19111,301
19152,232
19136,444
19149,356
19135,566
19137,176
19124,1243
19120,333
19126,66
19141,257
19138,113
19150,46
19119,74
19144,315
19140,702
19129,80
19134,4674
19118,14
19128,165
19127,29
19125,712
19133,1285
19132,492
19131,258
19151,114
19122,240
19121,293
19139,413
19104,570
19130,117
19123,194
19108,1
19103,136
19102,149
19107,434
19106,203
19143,332
19146,397
19147,284
19142,207
19145,518
19148,906
19112,6
19153,136
