ZIPCODE,X2014Q1,X2014Q2,X2014Q3,X2014Q4,X2015Q1,X2015Q2,X2015Q3,X2015Q4,X2016Q1,X2016Q2,X2016Q3,X2016Q4,X2017Q1,X2017Q2,X2017Q3,X2017Q4,X2018Q1,X2018Q2,X2018Q3,X2018Q4
19102,0,0,0,0,0,0,<6,0,<6,<6,0,<6,<6,0,<6,<6,0,<6,<6,0
19103,<6,0,<6,0,0,0,0,0,0,0,<6,<6,<6,<6,<6,0,<6,<6,<6,<6
19104,<6,<6,<6,6,6,6,<6,<6,<6,6,<6,6,<6,6,9,8,<6,7,<6,8
19106,0,0,<6,<6,<6,0,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6
19107,<6,<6,<6,<6,<6,<6,0,<6,6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,6
19111,<6,<6,<6,<6,<6,<6,<6,<6,7,<6,8,<6,9,11,<6,6,6,<6,8,<6
19114,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,7,<6,<6,8,6,<6,<6,8,<6,<6
19115,<6,0,<6,<6,0,<6,<6,<6,<6,<6,<6,0,<6,<6,<6,6,<6,<6,<6,<6
19116,<6,<6,<6,<6,<6,<6,<6,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6
19118,0,0,0,0,0,0,0,0,0,<6,0,0,0,0,0,<6,0,<6,<6,<6
19119,0,0,0,0,<6,<6,<6,0,<6,<6,<6,0,<6,<6,<6,<6,<6,<6,<6,<6
19120,<6,<6,<6,7,6,0,<6,<6,<6,<6,8,7,8,10,<6,<6,<6,<6,10,6
19121,<6,10,<6,<6,<6,<6,<6,6,<6,7,<6,6,<6,8,<6,<6,7,<6,<6,7
19122,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,6,<6,<6
19123,0,0,<6,<6,0,<6,0,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,0
19124,9,10,10,8,7,11,9,8,10,9,9,10,24,17,26,25,14,12,20,25
19125,8,6,<6,<6,<6,<6,<6,<6,<6,6,<6,6,11,10,<6,7,6,<6,<6,15
19126,0,0,0,<6,0,0,<6,0,<6,<6,0,<6,<6,0,<6,<6,<6,<6,0,<6
19127,<6,<6,0,<6,0,0,<6,<6,0,<6,<6,0,0,<6,0,0,<6,<6,0,0
19128,0,<6,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,7,<6,6
19129,0,0,0,0,<6,0,<6,0,<6,<6,0,<6,0,0,<6,<6,0,<6,<6,0
19130,0,<6,<6,<6,<6,<6,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,0,<6,<6,<6
19131,<6,<6,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6
19132,6,<6,<6,8,13,7,<6,7,7,7,8,13,8,9,7,11,8,10,<6,7
19133,<6,<6,<6,10,7,<6,6,14,12,8,7,12,23,19,12,8,10,8,9,15
19134,15,18,19,22,19,23,30,21,22,26,39,52,53,59,61,36,35,40,48,36
19135,<6,11,<6,<6,9,9,<6,7,9,6,<6,13,8,9,9,8,9,13,6,8
19136,<6,8,<6,<6,10,8,<6,<6,7,<6,7,11,9,7,7,8,8,11,10,<6
19137,<6,<6,<6,<6,<6,0,0,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6
19138,0,<6,<6,<6,<6,<6,<6,0,0,<6,<6,<6,0,0,<6,0,<6,<6,<6,6
19139,0,<6,<6,8,<6,<6,<6,9,11,6,<6,7,8,6,9,9,6,9,12,6
19140,7,10,6,10,<6,10,9,12,7,10,6,9,13,21,8,10,9,17,12,11
19141,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,0,<6,<6,<6,<6,<6,<6,<6
19142,<6,<6,<6,<6,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,7,<6,<6,<6
19143,<6,<6,<6,6,<6,7,<6,8,8,<6,<6,9,7,6,6,<6,<6,8,9,<6
19144,<6,8,6,<6,<6,<6,<6,6,7,<6,<6,<6,6,<6,<6,6,6,<6,9,<6
19145,<6,8,<6,<6,7,<6,<6,<6,8,10,<6,<6,15,13,7,<6,7,9,<6,10
19146,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,8,<6,11,<6,<6,<6,<6,<6
19147,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,9,6,<6,<6,<6,<6,<6
19148,6,7,<6,<6,9,<6,<6,10,7,13,7,17,9,13,14,7,10,10,21,12
19149,<6,<6,<6,<6,<6,<6,7,<6,<6,<6,<6,10,7,8,7,8,6,<6,6,8
19150,<6,<6,0,0,<6,0,0,0,<6,0,<6,<6,0,0,0,<6,0,0,<6,0
19151,<6,0,<6,<6,<6,<6,0,<6,<6,<6,<6,<6,<6,<6,<6,<6,7,<6,<6,<6
19152,<6,<6,<6,<6,<6,<6,6,<6,<6,9,7,7,7,8,9,6,9,<6,8,<6
19153,<6,0,0,<6,0,0,<6,<6,<6,<6,0,<6,<6,<6,<6,<6,<6,0,0,<6
19154,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,<6,6,7,6,9,8,6,<6,<6,<6
OOJ,0,0,0,0,<6,<6,<6,0,<6,<6,<6,9,<6,<6,6,<6,6,6,<6,<6
Unknown,10,6,<6,<6,0,0,<6,7,0,0,<6,<6,<6,<6,<6,<6,<6,<6,0,0
