participant_zip,avg_outcome_ems,avg_outcome_police,avg_outcome_ed,avg_outcome_death,avg_outcome_unk,avg_outcome_ok,avg_od_drug_heroin,avg_od_drug_cocaine,avg_od_drug_fentanyl,avg_od_drug_unknown,avg_od_drug_other,avg_od_present_breath,avg_od_present_unresponsive,avg_od_present_coloring,avg_od_present_other,avg_cpr_used,n_observations
19111,0.36666666666666664,0.15,0.2,0,0.15,0.7,0.5172413793103449,0.06896551724137931,0.3103448275862069,0.2413793103448276,0.16129032258064516,0.6428571428571429,0.75,0.6785714285714286,0,0.6,31
19120,0.3181818181818182,0.21052631578947367,0.05263157894736842,0,0.05263157894736842,0.5263157894736842,0.6956521739130435,0.13043478260869565,0.6521739130434783,0,0,0.30434782608695654,0.5652173913043478,0.4782608695652174,0.043478260869565216,0.42857142857142855,26
19122,0.1875,0.11538461538461539,0,0,0.07692307692307693,0.7692307692307693,0.36666666666666664,0.03333333333333333,0.36666666666666664,0.26666666666666666,0.09375,0.3870967741935484,0.41935483870967744,0.3225806451612903,0.22580645161290322,0.3333333333333333,36
19124,0.3582089552238806,0.17647058823529413,0.125,0.026143790849673203,0.0718954248366013,0.5816993464052288,0.8205128205128205,0.2,0.5282051282051282,0.06153846153846154,0.08823529411764706,0.4381443298969072,0.5412371134020618,0.5567010309278351,0.030927835051546393,0.4533333333333333,219
19125,0.20618556701030927,0.11594202898550725,0.07246376811594203,0.043478260869565216,0.2028985507246377,0.6086956521739131,0.6483516483516484,0.10989010989010989,0.4945054945054945,0.0989010989010989,0.14,0.37777777777777777,0.5111111111111111,0.5555555555555556,0.011235955056179775,0.41935483870967744,102
19132,0.2916666666666667,0.1282051282051282,0.05128205128205128,0,0.10256410256410256,0.6410256410256411,0.7291666666666666,0.22916666666666666,0.5,0.10416666666666667,0.08,0.43478260869565216,0.5217391304347826,0.6086956521739131,2.148936170212766,0.6,53
19133,0.3108108108108108,0.15625,0.171875,0.03125,0.0625,0.5,0.8194444444444444,0.18055555555555555,0.3472222222222222,0.06944444444444445,0.05405405405405406,0.352112676056338,0.4647887323943662,0.4507042253521127,0.028169014084507043,0.3888888888888889,79
19134,0.33440721649484534,0.18515429524603835,0.12010008340283569,0.020016680567139282,0.07339449541284404,0.645,0.7247524752475247,0.19525065963060687,0.5257255936675461,0.1036988110964333,0.11379529561347743,0.4388631857237277,0.578042328042328,0.548941798941799,0.10337972166998012,0.49290060851926976,1642
19135,0.4057971014492754,0.2641509433962264,0.1509433962264151,0,0.05660377358490566,0.5094339622641509,0.7794117647058824,0.1323529411764706,0.35294117647058826,0.11764705882352941,0.1267605633802817,0.39705882352941174,0.5147058823529411,0.4264705882352941,0.08823529411764706,0.6,74
19136,0.323943661971831,0.03278688524590164,0.03278688524590164,0,0.09836065573770492,0.639344262295082,0.7887323943661971,0.056338028169014086,0.39436619718309857,0.1267605633802817,0.0684931506849315,0.4225352112676056,0.6197183098591549,1.8611111111111112,0.028169014084507043,0.6666666666666666,84
19140,0.40789473684210525,0.3125,0.03125,0.046875,0.0625,0.375,0.8767123287671232,0.136986301369863,0.3698630136986301,0.0821917808219178,0.05263157894736842,0.3611111111111111,0.5555555555555556,0.2916666666666667,0.027777777777777776,0.5833333333333334,78
19143,0.38095238095238093,0.16666666666666666,0.05555555555555555,0,0,0.6666666666666666,0.75,0.1,0.45,0,0.047619047619047616,0.5263157894736842,0.5263157894736842,0.5789473684210527,0.05263157894736842,0.4,28
19145,0.2894736842105263,0.06451612903225806,0.12903225806451613,0,0.0967741935483871,0.4838709677419355,0.7368421052631579,0.15789473684210525,0.42105263157894735,0.10526315789473684,0.18421052631578946,0.3076923076923077,0.5384615384615384,0.48717948717948717,0.05128205128205128,0.36363636363636365,40
19148,0.2962962962962963,0.17391304347826086,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.5652173913043478,0.7307692307692307,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.07407407407407407,0.38461538461538464,0.6153846153846154,0.4230769230769231,0,0.8571428571428571,32
19149,0.40625,0.17857142857142858,0.10714285714285714,0,0.10714285714285714,0.6071428571428571,0.8387096774193549,0.0967741935483871,0.41935483870967744,0.06451612903225806,0.06451612903225806,0.4666666666666667,0.5161290322580645,0.6451612903225806,0.06451612903225806,0.5,34
19152,0.36363636363636365,0.21428571428571427,0,0,0,0.42857142857142855,0.5263157894736842,0.05263157894736842,0.47368421052631576,0.10526315789473684,0.09090909090909091,0.5,0.55,0.65,0,0.875,26
19154,0.59375,0.2,0,0.08,0.16,0.44,0.7333333333333333,0.2,0.6333333333333333,0.03333333333333333,0.125,0.3,0.4,0.6333333333333333,0,0.5,33
NA,0.31693989071038253,0.16532258064516128,0.10121457489878542,0.03225806451612903,0.05241935483870968,0.6975806451612904,0.7662721893491125,0.10946745562130178,0.39233038348082594,0.08259587020648967,0.06788511749347259,0.44108761329305135,0.5451807228915663,0.5210843373493976,0.06626506024096386,0.37735849056603776,503
