site_id,visit_month,syringes_returned,syringes_dispensed,no_exchanging_for
1,2019-01-01,5625,6175,48
1,2019-02-01,12700,13960,89
1,2019-03-01,8862,10470,76
1,2019-04-01,6130,7070,64
1,2019-05-01,9369,9830,66
1,2019-06-01,11550,11980,81
1,2019-08-01,9772,10290,73
1,2019-09-01,8673,8940,62
1,2019-10-01,9960,10690,62
1,2019-11-01,8287,11040,85
1,2019-12-01,6550,7710,56
2,2019-01-01,5106,5290,41
2,2019-02-01,10750,10820,43
2,2019-03-01,6210,6620,40
2,2019-04-01,5150,5150,33
2,2019-05-01,4445,5420,36
2,2019-06-01,4010,4190,40
2,2019-08-01,4360,4600,32
2,2019-09-01,4350,4610,29
2,2019-10-01,4475,5340,47
2,2019-11-01,4790,5750,50
2,2019-12-01,5150,5020,34
3,2019-01-01,12049,13800,117
3,2019-02-01,7550,7720,102
3,2019-03-01,9750,10761,120
3,2019-04-01,8311,9130,91
3,2019-05-01,13400,14180,117
3,2019-06-01,6370,6730,105
3,2019-08-01,7156,8330,89
3,2019-09-01,7160,8254,65
3,2019-10-01,8480,9260,56
3,2019-11-01,7715,9040,76
3,2019-12-01,4981,5570,44
4,2019-01-01,14490,16150,99
4,2019-02-01,6780,7010,41
4,2019-03-01,9295,9865,93
4,2019-04-01,5815,6580,66
4,2019-05-01,7636,8090,69
4,2019-06-01,10065,14030,58
4,2019-07-01,0,260,24
4,2019-08-01,10513,11066,72
4,2019-09-01,11230,11835,72
4,2019-10-01,11940,13410,70
4,2019-11-01,10790,13280,63
4,2019-12-01,4290,5330,30
5,2019-01-01,186500,199490,1501
5,2019-02-01,169535,180570,1444
5,2019-03-01,259530,265700,1729
5,2019-04-01,204781,215975,1257
5,2019-05-01,244030,256160,1580
5,2019-06-01,241545,252935,1632
5,2019-07-01,142480,148890,1104
5,2019-08-01,257970,265580,1629
5,2019-09-01,214250,225580,1483
5,2019-10-01,259790,273411,1627
5,2019-11-01,248800,274345,1796
5,2019-12-01,169105,189375,1238
6,2019-01-01,4046,4590,54
6,2019-02-01,1550,1610,19
6,2019-03-01,4015,4115,70
6,2019-04-01,2120,2310,37
6,2019-05-01,4033,4550,37
6,2019-06-01,1710,1900,37
6,2019-07-01,992,1000,7
6,2019-08-01,2130,2220,32
6,2019-09-01,2050,2250,32
6,2019-10-01,750,1120,15
6,2019-11-01,1000,1410,27
6,2019-12-01,540,740,7
7,2019-01-01,1500,9520,788
7,2019-02-01,0,8580,846
7,2019-03-01,0,7580,713
7,2019-04-01,0,7070,663
7,2019-05-01,0,5430,517
7,2019-06-01,0,8070,787
7,2019-07-01,0,4590,406
7,2019-08-01,0,6640,621
7,2019-09-01,0,9840,930
7,2019-10-01,0,10854,597
7,2019-11-01,0,12920,627
7,2019-12-01,0,17640,867
8,2019-01-01,0,10045,990
8,2019-02-01,2320,10438,756
8,2019-03-01,0,7250,716
8,2019-04-01,0,5420,502
8,2019-05-01,75,4510,420
8,2019-06-01,0,9540,919
8,2019-07-01,75,8510,710
8,2019-08-01,0,5020,465
8,2019-09-01,0,7060,651
8,2019-10-01,3585,13610,605
8,2019-11-01,0,10010,474
8,2019-12-01,2438,8080,246
9,2019-01-01,640,720,6
9,2019-03-01,1735,1845,21
9,2019-04-01,847,1095,13
9,2019-05-01,100,170,6
9,2019-06-01,1890,1460,16
9,2019-08-01,580,650,8
9,2019-09-01,190,820,12
9,2019-10-01,1793,2800,13
9,2019-11-01,650,1020,5
9,2019-12-01,1090,1180,6
10,2019-01-01,900,900,1
10,2019-02-01,1000,1010,7
10,2019-03-01,900,910,6
10,2019-04-01,2100,2150,15
10,2019-05-01,1300,1380,14
10,2019-06-01,1410,1490,16
10,2019-07-01,700,710,6
10,2019-08-01,1080,1410,18
10,2019-09-01,750,1060,15
10,2019-10-01,4250,4710,29
10,2019-11-01,2600,3620,17
10,2019-12-01,850,1130,11
11,2019-01-01,2600,2650,24
11,2019-02-01,1980,2040,13
11,2019-03-01,2670,2710,18
11,2019-04-01,2155,2260,15
11,2019-05-01,5480,6100,32
11,2019-06-01,3535,3685,33
11,2019-08-01,4260,4350,25
11,2019-09-01,5060,6020,44
11,2019-10-01,5625,7600,60
11,2019-11-01,4215,5490,30
11,2019-12-01,6340,7190,29
12,2019-12-01,64480,78060,884
13,2019-12-01,0,7110,348
17,2019-12-01,0,2375,48
18,2019-12-01,27150,14070,23
22,2019-12-01,0,400,4
99,2019-01-01,1850,0,7
99,2019-02-01,2650,0,10
99,2019-03-01,2100,0,4
99,2019-04-01,2924,600,29
99,2019-05-01,14287,2100,18
99,2019-06-01,670,0,10
99,2019-08-01,9560,17795,150
99,2019-09-01,39350,36720,66
99,2019-10-01,2260,21570,55
99,2019-12-01,30,5000,2
NA,2019-01-01,1540,1610,6
