site_id,visit_month,count_distinct_participants
1,2019-01-01,42
1,2019-10-01,51
1,2019-11-01,73
1,2019-12-01,54
1,2019-02-01,74
1,2019-03-01,61
1,2019-04-01,49
1,2019-05-01,57
1,2019-06-01,54
1,2019-08-01,63
1,2019-09-01,51
2,2019-01-01,39
2,2019-10-01,43
2,2019-11-01,44
2,2019-12-01,30
2,2019-02-01,40
2,2019-03-01,35
2,2019-04-01,27
2,2019-05-01,29
2,2019-06-01,29
2,2019-08-01,31
2,2019-09-01,27
3,2019-01-01,100
3,2019-10-01,49
3,2019-11-01,63
3,2019-12-01,37
3,2019-02-01,82
3,2019-03-01,74
3,2019-04-01,71
3,2019-05-01,89
3,2019-06-01,68
3,2019-08-01,69
3,2019-09-01,58
4,2019-01-01,78
4,2019-10-01,51
4,2019-11-01,43
4,2019-12-01,27
4,2019-02-01,34
4,2019-03-01,59
4,2019-04-01,52
4,2019-05-01,52
4,2019-06-01,48
4,2019-07-01,24
4,2019-08-01,53
4,2019-09-01,53
5,2019-01-01,1026
5,2019-10-01,1047
5,2019-11-01,1063
5,2019-12-01,843
5,2019-02-01,1004
5,2019-03-01,952
5,2019-04-01,835
5,2019-05-01,968
5,2029-05-01,1
5,2019-06-01,999
5,2018-07-01,24
5,2019-07-01,816
5,2019-08-01,1097
5,2019-09-01,962
6,2019-01-01,50
6,2019-10-01,14
6,2019-11-01,26
6,2019-12-01,7
6,2019-02-01,19
6,2019-03-01,39
6,2019-04-01,30
6,2019-05-01,31
6,2019-06-01,25
6,2019-07-01,7
6,2019-08-01,23
6,2019-09-01,27
7,2019-01-01,626
7,2019-10-01,444
7,2019-11-01,479
7,2019-12-01,662
7,2019-02-01,609
7,2019-03-01,449
7,2019-04-01,490
7,2019-05-01,404
7,2019-06-01,578
7,2019-07-01,358
7,2019-08-01,466
7,2019-09-01,646
8,2019-01-01,718
8,2019-10-01,454
8,2019-11-01,368
8,2019-12-01,218
8,2019-02-01,582
8,2019-03-01,514
8,2019-04-01,392
8,2019-05-01,345
8,2029-05-01,98
8,2019-06-01,647
8,2019-07-01,536
8,2019-08-01,362
8,2019-09-01,478
9,2019-01-01,6
9,2019-10-01,12
9,2019-11-01,5
9,2019-12-01,5
9,2019-03-01,18
9,2019-04-01,12
9,2019-05-01,6
9,2019-06-01,12
9,2019-08-01,7
9,2019-09-01,9
10,2019-01-01,1
10,2019-10-01,24
10,2019-11-01,14
10,2019-12-01,11
10,2019-02-01,7
10,2019-03-01,6
10,2019-04-01,12
10,2019-05-01,13
10,2019-06-01,14
10,2019-07-01,6
10,2019-08-01,17
10,2019-09-01,14
11,2019-01-01,23
11,2019-10-01,55
11,2019-11-01,26
11,2019-12-01,25
11,2019-02-01,13
11,2019-03-01,13
11,2019-04-01,12
11,2019-05-01,24
11,2019-06-01,23
11,2019-08-01,22
11,2019-09-01,37
12,2019-12-01,604
13,2019-12-01,292
17,2019-12-01,9
18,2019-12-01,20
22,2019-12-01,4
99,2019-01-01,1
99,2019-10-01,15
99,2019-12-01,1
99,2019-02-01,2
99,2019-03-01,2
99,2019-04-01,10
99,2019-05-01,8
99,2019-06-01,2
99,2019-08-01,61
99,2019-09-01,23
